post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-07-08 00:07:51,막스가 하드로 이득볼게 있나?,"12랩을 소프트가 못버팀?
- dc official App",41,41.0
2024-07-08 00:07:47,갓 세이브 더 킹 재입갤 준비 ㅋㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:52,경이롭다,"ㅇㅇ
- dc official App",41,41.0
2024-07-08 00:07:54,4.5 아니였음 1위 지켰겠다 ㅅㅂㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,41,41.0
2024-07-08 00:07:55,경 지나갈때 관중들 함성 미쳤노 ㅋㅋㅋ,"라디오 뚫네
경의 품격 ㄷㄷ",41,41.0
2024-07-08 00:07:58,함성소리 지리노,와 ㄷㄷ,41,41.0
2024-07-08 00:07:58,경 우승 드가자,ㅋㅋ,41,41.0
2024-07-08 00:07:58,❗❗❗❗우승자 떴다❗❗❗❗,"周 冠 宇
- dc official App",41,41.0
2024-07-08 00:08:00,안된다..,4초 뭐냐 ㅂㅅ들아,41,41.0
2024-07-08 00:08:01,물탕아 함 가자,,41,41.0
2024-07-08 00:08:02,몽골은 하드 실패냐,ㅋㅋ,41,41.0
2024-07-08 00:08:01,와 진짜 해밀턴 가냐??,,41,41.0
2024-07-08 00:08:12,오른쪽 앞바퀴 그냥 미끄러져 가네 ㅋㅋ,,41,41.0
2024-07-08 00:08:13,노리스 이번주에도 부탁한다,물탕경 박아줘,41,41.0
2024-07-08 00:08:13,전부 느림 ㅋㅋㅋ,,41,41.0
2024-07-08 00:08:14,맥라렌 전략 무ㅏ냐고오ㅗ,더블 포디움도 가능했는데 다 까먹네,41,41.0
2024-07-08 00:08:16,그냥 무리스가 오버해서 멈췄네ㅋㅋㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:08:19,주차 잘못했네ㄷ,- dc official App,41,41.0
2024-07-08 00:08:21,노리스 브레이킹 밀려서 늦음 ㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:08:21,프론트 잭맨 살짝 쳤네,,41,41.0
2024-07-08 00:08:22,그냥 해탈한 ㅈ포시면 개추ㅋㅋ,"시2발ㅋㄹㅋㅎㅋㅎ 엪원 광대를 자처하는구나ㅋㅎㅋㅎㅋㅎ
- dc official App",41,41.0
2024-07-08 00:08:26,경 우승으로 가는게 맞다,노리스는 아직 멀었다,41,41.0
