post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-12-08 22:06:20,병신 사망ㅋㅋㅋ,ㅋㅋㅋㅋ켘,2,2.0,병신 사망ㅋㅋㅋ ㅋㅋㅋㅋ켘,병신 사망ㅋㅋㅋ ㅋㅋㅋㅋ켘,0.8632844090461731
2024-12-08 22:06:20,체황 ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,2,2.0,체황 ㅋㅋㅋㅋㅋ ㅋㅋㅋ,체황 ㅋㅋㅋㅋㅋ ㅋㅋㅋ,0.45790258049964905
2024-12-08 22:06:20,병신 사망 ㅋㅋㅋ,잘가라 ㅋㅋㅋ,2,2.0,병신 사망 ㅋㅋㅋ 잘가라 ㅋㅋㅋ,병신 사망 ㅋㅋㅋ 잘가라 ㅋㅋㅋ,0.8848063945770264
2024-12-08 22:06:20,티포시들 안 올리고 뭐하냐,대 몽 골,2,2.0,티포시들 안 올리고 뭐하냐 대 몽 골,티포시들 안 올리고 뭐하냐 대 몽 골,0.7314115166664124
2024-12-08 22:06:20,막가놈 아니랄까봐 스핀 커버 ㅈㄴ잘하노ㅋㅋㅋㅋ,,2,2.0,막가놈 아니랄까봐 스핀 커버 ㅈㄴ잘하노ㅋㅋㅋㅋ ,막가놈 아니랄까봐 스핀 커버 ㅈㄴ잘하노ㅋㅋㅋㅋ,0.906907320022583
2024-12-08 22:06:21,꺼지십시오 JOAT 병신 ㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅇㅋㅋ,2,2.0,꺼지십시오 JOAT 병신 ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅇㅋㅋ,꺼지십시오 JOAT 병신 ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅇㅋㅋ,0.9439877867698669
2024-12-08 22:06:21,체코 마지막까지 ㅋㅋㅋㅋㅋ,"ㅋㅋㅋ
- dc official App",2,2.0,"체코 마지막까지 ㅋㅋㅋㅋㅋ ㅋㅋㅋ
- dc official App",체코 마지막까지 ㅋㅋㅋㅋㅋ ㅋㅋㅋ - dc official App,0.2812974452972412
2024-12-08 22:06:21,또또또체코병신,"ㅋㅋㅋㅋ
- dc official App",2,2.0,"또또또체코병신 ㅋㅋㅋㅋ
- dc official App",또또또체코병신 ㅋㅋㅋㅋ - dc official App,0.9036703109741211
2024-12-08 22:06:21,vsc 떳냐???,ㅁㅊㄷㅁㅊㅇ,2,2.0,vsc 떳냐??? ㅁㅊㄷㅁㅊㅇ,vsc 떳냐??? ㅁㅊㄷㅁㅊㅇ,0.8480264544487
2024-12-08 22:06:21,체콬ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,2,2.0,체콬ㅋㅋㅋㅋㅋ ㅋㅋㅋ,체콬ㅋㅋㅋㅋㅋ ㅋㅋㅋ,0.8108308911323547
2024-12-08 22:06:21,레드불 최종전 전부 사망 ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ,2,2.0,레드불 최종전 전부 사망 ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,레드불 최종전 전부 사망 ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,0.4524121582508087
2024-12-08 22:06:21,은퇴경기마저 좆망인 체신 ㅜㅜㅜㅜㅜㅜ,,2,2.0,은퇴경기마저 좆망인 체신 ㅜㅜㅜㅜㅜㅜ ,은퇴경기마저 좆망인 체신 ㅜㅜㅜㅜㅜㅜ,0.948936402797699
2024-12-08 22:06:21,체코신 사망ㅋㅋㅋㅋ,아ㅋㅋㅋㅋㅋㅋ,2,2.0,체코신 사망ㅋㅋㅋㅋ 아ㅋㅋㅋㅋㅋㅋ,체코신 사망ㅋㅋㅋㅋ 아ㅋㅋㅋㅋㅋㅋ,0.6934741735458374
2024-12-08 22:06:21,병신병신핸동ㅋㅋㅋ,ㅋㅋㅋㅋ,2,2.0,병신병신핸동ㅋㅋㅋ ㅋㅋㅋㅋ,병신병신핸동ㅋㅋㅋ ㅋㅋㅋㅋ,0.9351327419281006
2024-12-08 22:06:22,세카 드갸자 ㅋㅋㅋㅋㅋㅋㅋ,"ㅋㅋ
- dc official App",2,2.0,"세카 드갸자 ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋ
- dc official App",세카 드갸자 ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋ - dc official App,0.30501124262809753
2024-12-08 22:06:23,?,?,2,2.0,? ?,? ?,0.7557300925254822
2024-12-08 22:06:22,대 병 신,,2,2.0,대 병 신 ,대 병 신,0.8390255570411682
2024-12-08 22:06:22,역시 장난꾸러기는 레드불 ㅋㅋㅋ,,2,2.0,역시 장난꾸러기는 레드불 ㅋㅋㅋ ,역시 장난꾸러기는 레드불 ㅋㅋㅋ,0.2519928216934204
2024-12-08 22:06:22,진짜 끝까지 븅신이네,,2,2.0,진짜 끝까지 븅신이네 ,진짜 끝까지 븅신이네,0.9087520837783813
